3,35,24,17,118,8,0,0,0,0,0,0,1,0,0,2
7,0,0,0,0,19,17,16,0,0,0,0,2,0,0,4
2,26,43,70,15,4,0,0,0,0,0,0,3,2,0,1
11,15,78,63,44,21,0,0,0,0,0,0,2,0,0,7
7,0,0,0,0,14,0,0,0,0,0,0,2,0,0,4
8,57,43,13,104,18,0,0,0,0,0,0,5,0,0,5
6,67,73,18,79,18,0,0,0,0,0,0,5,0,0,5
7,0,0,0,0,14,19,0,0,0,0,0,2,0,0,4
8,51,54,22,70,18,0,0,0,0,0,0,5,0,0,5
2,29,45,65,10,5,0,0,0,0,0,0,3,0,0,1
2,30,43,65,26,5,0,0,0,0,0,0,2,0,0,1
6,0,0,0,0,18,0,0,0,0,0,0,2,0,0,4
10,15,72,60,33,21,0,0,0,0,0,0,2,0,0,7
10,15,71,59,43,21,0,0,0,0,0,0,2,1,0,7
4,44,22,17,91,5,11,9,0,0,0,0,4,0,0,2
2,28,43,70,25,4,0,0,0,0,0,0,3,2,0,1
3,25,34,11,52,5,7,0,0,0,0,0,4,2,0,2
2,18,43,65,16,5,0,0,0,0,0,0,2,0,0,1
6,718,103,2,346,14,0,0,0,0,0,0,1,0,0,3
5,22,26,29,42,6,5,10,0,0,0,0,4,0,0,2
6,773,140,3,330,14,12,13,0,0,0,0,2,1,0,3
7,0,0,0,0,16,14,0,0,0,0,0,1,0,0,4
6,777,109,3,287,12,15,14,0,0,0,0,1,2,0,3
6,0,0,0,0,20,0,0,0,0,0,0,2,0,0,6
6,649,79,5,289,12,13,15,0,0,0,0,2,0,0,3
1,33,36,11,159,3,1,0,0,0,0,0,1,0,0,0
11,13,70,60,42,21,0,0,0,0,0,0,1,0,0,7
6,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6
6,0,0,0,0,20,0,0,0,0,0,0,2,0,0,6
8,60,76,21,67,18,0,0,0,0,0,0,5,0,0,5
5,11,27,26,83,7,0,0,0,0,0,0,4,0,0,2
1,31,35,13,98,1,2,3,0,0,0,0,1,2,0,0
2,22,43,66,22,5,0,0,0,0,0,0,3,0,0,1
6,0,0,0,0,4,0,0,0,0,0,0,2,0,0,6
3,15,36,15,79,9,5,7,8,0,0,0,4,0,0,2
6,750,107,4,292,14,15,0,0,0,0,0,1,0,0,3
1,40,45,9,95,1,2,0,0,0,0,0,1,0,0,0
6,776,164,2,345,12,14,0,0,0,0,0,2,1,0,3
11,11,70,65,42,21,0,0,0,0,0,0,2,1,0,7
4,32,25,13,76,5,10,7,0,0,0,0,2,4,1,2
2,13,45,66,27,4,0,0,0,0,0,0,3,2,0,1
7,0,0,0,0,17,18,14,0,0,0,0,2,0,0,4
7,0,0,0,0,18,16,0,0,0,0,0,2,1,0,4
6,0,0,0,0,20,4,0,0,0,0,0,2,1,0,6
8,61,68,22,110,18,0,0,0,0,0,0,1,0,0,5
6,722,157,2,333,14,12,0,0,0,0,0,2,0,0,3
6,0,0,0,0,19,18,17,16,0,0,0,1,0,0,4
6,0,0,0,0,20,0,0,0,0,0,0,1,2,0,6
5,27,28,21,118,10,5,9,8,0,0,0,4,0,0,2
6,0,0,0,0,20,4,0,0,0,0,0,1,0,0,6
1,37,38,11,125,1,0,0,0,0,0,0,1,0,0,0
